timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442814231869685, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814233789119, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814235711054, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814237629250, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814239557967, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814241782941, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814248167257, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814250089703, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814252097674, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814254023097, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814255941600, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814257866790, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814259787597, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814268533522, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814270431771, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814272345874, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814274269366, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814276187678, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814278106493, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814280024444, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814288219400, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814290125892, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814292043574, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814293963780, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814295896715, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814297814122, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814299733989, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814302070180, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814308579397, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814310497023, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814312397245, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814314317464, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814316236692, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814318306814, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814320222014, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814328333855, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814330247263, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814332163519, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814334080808, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814335998235, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814337919642, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814339838034, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814341862190, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814348486562, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814350402221, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814352318559, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814354239858, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814356159578, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814358089149, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814360004438, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814368519943, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814370800307, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814372720082, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814374638995, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814376534361, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814378449551, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814380367129, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814388431961, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814390352797, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814392272411, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814394188249, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814396116016, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814398032791, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814399950378, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814402353994, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814408808314, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814410729709, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
